company_id,isin,domains,urls,primary_url
COMPAGNIE FINANCIERE RICHEMONT SA,CH0210483332,www.richemont.com;richemont.com,https://www.richemont.com;https://richemont.com,https://www.richemont.com
DCC PLC,IE0002424939,www.dcc.ie;dcc.ie,https://www.dcc.ie;https://dcc.ie,https://www.dcc.ie
DSV A/S,DK0060079531,www.dsv.dk;www.dsv.com;dsv.com,https://www.dsv.dk;https://www.dsv.com;https://dsv.com,https://www.dsv.dk
ADECCO GROUP AG,CH0012138605,www.adecco.com;www.adeccogroup.com;adeccogroup.com,https://www.adecco.com;https://www.adeccogroup.com;https://adeccogroup.com,https://www.adecco.com
NATIONAL GRID PLC,GB00BDR05C01,www.nationalgrid.com;nationalgrid.com,https://www.nationalgrid.com;https://nationalgrid.com,https://www.nationalgrid.com
ROLLS-ROYCE HOLDINGS PLC,GB00B63H8491,www.rolls-royce.com;rolls-royce.com,https://www.rolls-royce.com;https://rolls-royce.com,https://www.rolls-royce.com
ING GROEP NV,NL0011821202,www.ing.com;ing.com,https://www.ing.com;https://ing.com,https://www.ing.com
CAPGEMINI,FR0000125338,www.capgemini.com;capgemini.fr,https://www.capgemini.com;https://capgemini.fr,https://www.capgemini.com
FRESENIUS SE & CO. KGAA,DE0005785604,www.fresenius.de;www.fresenius.com;fresenius.de,https://www.fresenius.de;https://www.fresenius.com/de;https://fresenius.de,https://www.fresenius.de
GALP ENERGIA SGPS S.A.,PTGAL0AM0009,www.galp.com;www.galpenergia.com;galp.com,https://www.galp.com;https://www.galpenergia.com;https://galp.com,https://www.galp.com
TELEFONAKTIEBOLAGET LM ERICSSON AB,SE0000108656,www.ericsson.com;ericsson.com,https://www.ericsson.com;https://ericsson.com,https://www.ericsson.com
BOLLORE SE,FR0000039299,www.bollore.com;www.bollore.fr;bollore.fr,https://www.bollore.com;https://www.bollore.fr;https://bollore.fr,https://www.bollore.com
LLOYDS BANKING GROUP PLC,GB0008706128,lloydsbankinggroup.com;www.lloydsbankinggroup.com,https://lloydsbankinggroup.com;https://www.lloydsbankinggroup.com,https://lloydsbankinggroup.com
HEIDELBERG MATERIALS AG,DE0006047004,www.heidelbergcement.com;www.heidelbergmaterials.com;heidelbergmaterials.com,https://www.heidelbergcement.com;https://www.heidelbergmaterials.com/en;https://heidelbergmaterials.com,https://www.heidelbergcement.com
VALEO,FR0013176526,www.valeo.com;valeo.com,https://www.valeo.com;https://valeo.com,https://www.valeo.com
MERCK KGAA,DE0006599905,www.merck.de;www.merck-bkk.de;merck-bkk.de,https://www.merck.de;https://www.merck-bkk.de;https://merck-bkk.de,https://www.merck.de
THALES,FR0000121329,www.thalesgroup.com;thalesgroup.com,https://www.thalesgroup.com;https://thalesgroup.com,https://www.thalesgroup.com
