slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok,n_llm_calls_error
delivery_hero_se,Delivery Hero SE,Delivery Hero SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\delivery_hero_se\2023\focused\delivery_hero_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,21,12,0.182996,0.49055,25.680382,29.112214,12,0
deutsche_bank_ag,Deutsche Bank AG,Deutsche Bank AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\deutsche_bank_ag\2023\focused\deutsche_bank_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,13,12,0.191834,0.489074,22.48668,26.002439,12,0
deutsche_lufthansa_ag,Deutsche Lufthansa AG,Deutsche Lufthansa AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\deutsche_lufthansa_ag\2023\focused\deutsche_lufthansa_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,41,12,0.120051,0.487529,50.626561,54.229365,12,0
deutsche_pfandbriefbank_ag,Deutsche Pfandbriefbank AG,Deutsche Pfandbriefbank AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\deutsche_pfandbriefbank_ag\2023\focused\deutsche_pfandbriefbank_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,21,12,0.083599,0.426988,42.537873,45.71684,12,0
deutsche_post_ag,Deutsche Post AG,Deutsche Post AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\deutsche_post_ag\2023\focused\deutsche_post_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,41,12,0.239893,0.607323,33.615224,37.384723,12,0
deutsche_telekom_ag,Deutsche Telekom AG,Deutsche Telekom AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\deutsche_telekom_ag\2023\focused\deutsche_telekom_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,40,12,0.160125,0.489986,30.97477,34.396659,12,0
deutz_ag,Deutz AG,Deutz AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\deutz_ag\2023\focused\deutz_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,36,12,0.209984,0.733325,27.16311,30.879996,12,0
d_rr_ag,Dürr AG,Dürr AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\d_rr_ag\2023\focused\d_rr_ag_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,54,12,0.107036,1.002361,31.360858,35.089281,12,0
e_on_se,E.ON SE,E.ON SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\e_on_se\2023\focused\e_on_se_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,96,12,0.177915,0.664922,33.489639,37.169822,12,0
e_on_se,E.ON SE,E.ON SE,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\e_on_se\2024\focused\e_on_se_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,13,12,0.167715,0.457512,32.772133,35.957133,12,0
edp_renov_veis_s_a,"EDP Renováveis, S.A.","EDP Renováveis, S.A.",2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\edp_renov_veis_s_a\2023\focused\edp_renov_veis_s_a_2023_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,114,12,0.155067,0.980732,53.16509,57.221228,12,0
eni_s_p_a,ENI S.P.A.,ENI S.P.A.,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\eni_s_p_a\2024\focused\eni_s_p_a_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,17,12,0.170376,0.447324,78.414394,81.627854,12,0
equinor_asa,EQUINOR ASA,EQUINOR ASA,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\equinor_asa\2024\focused\equinor_asa_2024_taxonomy_focused.md,ok,,,False,12,0.5,0.5,17,7,7,0.135945,0.415649,14.537503,16.609319,7,0
