slug,company,report_year,n_chunks_declared,pass1_calls_ok,pass1_calls_error,pass2_calls_ok,pass2_calls_error,pass1_elapsed_sum_s,pass2_elapsed_sum_s,llm_total_elapsed_sum_s,pass1_prompt_tokens_api_sum,pass2_prompt_tokens_api_sum,total_prompt_tokens_api_sum,pass1_completion_tokens_api_sum,pass2_completion_tokens_api_sum,total_completion_tokens_api_sum,pass1_total_tokens_api_sum,pass2_total_tokens_api_sum,total_tokens_api_sum,n_evidence_rows_doc,n_rows_normalized_doc,max_attempt_used,status_like
immofinanz_ag,Immofinanz AG,2023,3.0,3.0,0.0,1.0,0.0,27.150942,11.311279,38.462221,56387.0,1299.0,57686.0,1927.0,686.0,2613.0,58314.0,1985.0,60299.0,23.0,11.0,1.0,ok
rh_n_klinikum_ag,RHÖN-KLINIKUM AG,2023,1.0,1.0,0.0,1.0,0.0,23.346195,14.469898,37.816093,15460.0,1818.0,17278.0,1555.0,786.0,2341.0,17015.0,2604.0,19619.0,25.0,11.0,1.0,ok
omv_aktiengesellschaft,OMV AKTIENGESELLSCHAFT,2024,1.0,1.0,0.0,1.0,0.0,23.587537,13.879559,37.467096,9186.0,1660.0,10846.0,1669.0,949.0,2618.0,10855.0,2609.0,13464.0,30.0,30.0,1.0,ok
fresenius_se_co_kgaa,Fresenius SE & Co. KGaA,2023,3.0,3.0,0.0,1.0,0.0,23.843453999999998,13.403203,37.246657,43627.0,1753.0,45380.0,1849.0,882.0,2731.0,45476.0,2635.0,48111.0,27.0,13.0,1.0,ok
compagnie_de_l_odet_se,Compagnie de l'Odet SE,2023,2.0,2.0,0.0,1.0,0.0,25.659572999999998,11.500899,37.160472,28774.0,1409.0,30183.0,1510.0,557.0,2067.0,30284.0,1966.0,32250.0,23.0,13.0,1.0,ok
iberdrola_sa,IBERDROLA SA,2024,1.0,1.0,0.0,1.0,0.0,29.773368,7.345498,37.118866000000004,7631.0,1081.0,8712.0,2119.0,420.0,2539.0,9750.0,1501.0,11251.0,11.0,11.0,1.0,ok
deutsche_post_ag,Deutsche Post AG,2023,3.0,3.0,0.0,1.0,0.0,28.704477999999998,8.149963,36.854440999999994,49122.0,1278.0,50400.0,1396.0,440.0,1836.0,50518.0,1718.0,52236.0,15.0,15.0,1.0,ok
knorr_bremse_ag,Knorr-Bremse AG,2023,2.0,2.0,0.0,1.0,0.0,21.637839,14.9236,36.561439,40728.0,2490.0,43218.0,2433.0,1019.0,3452.0,43161.0,3509.0,46670.0,39.0,16.0,1.0,ok
leg_immobilien_se,LEG Immobilien SE,2023,4.0,4.0,0.0,1.0,0.0,29.578680999999996,6.683727,36.26240799999999,63165.0,1876.0,65041.0,1847.0,837.0,2684.0,65012.0,2713.0,67725.0,25.0,13.0,1.0,ok
polytec_holding_ag,POLYTEC Holding AG,2023,2.0,2.0,0.0,1.0,0.0,28.157764999999998,7.314215,35.471979999999995,26995.0,1895.0,28890.0,1693.0,361.0,2054.0,28688.0,2256.0,30944.0,21.0,9.0,1.0,ok
daimler_ag,Daimler AG,2023,2.0,2.0,0.0,1.0,0.0,20.867026,14.348845,35.215871,34969.0,1398.0,36367.0,1139.0,813.0,1952.0,36108.0,2211.0,38319.0,19.0,10.0,1.0,ok
airbus_se,AIRBUS SE,2024,1.0,1.0,0.0,1.0,0.0,23.671415,11.352221,35.023635999999996,11470.0,1416.0,12886.0,1237.0,667.0,1904.0,12707.0,2083.0,14790.0,13.0,11.0,1.0,ok
mbb_se,MBB SE,2023,1.0,1.0,0.0,1.0,0.0,23.580224,11.130804,34.711028,15753.0,1481.0,17234.0,1633.0,697.0,2330.0,17386.0,2178.0,19564.0,23.0,12.0,1.0,ok
continental_ag,Continental AG,2023,3.0,3.0,0.0,1.0,0.0,27.60215,7.069802,34.671952000000005,43607.0,1317.0,44924.0,1270.0,323.0,1593.0,44877.0,1640.0,46517.0,11.0,8.0,1.0,ok
mtu_aero_engines_ag,MTU Aero Engines AG,2023,3.0,3.0,0.0,1.0,0.0,21.114573999999998,13.404582,34.519155999999995,43145.0,1314.0,44459.0,1177.0,782.0,1959.0,44322.0,2096.0,46418.0,21.0,14.0,1.0,ok
akwel,AKWEL,2023,1.0,1.0,0.0,1.0,0.0,21.743572,12.765744,34.509316,11845.0,1618.0,13463.0,1303.0,750.0,2053.0,13148.0,2368.0,15516.0,27.0,11.0,1.0,ok
fresenius_medical_care_ag,Fresenius Medical Care AG,2023,3.0,3.0,0.0,1.0,0.0,26.813922,7.074006,33.887928,49922.0,1223.0,51145.0,1031.0,349.0,1380.0,50953.0,1572.0,52525.0,10.0,5.0,1.0,ok
grammer_aktiengesellschaft,Grammer Aktiengesellschaft,2023,2.0,2.0,0.0,1.0,0.0,21.417652,11.769845,33.187497,22335.0,1442.0,23777.0,1354.0,720.0,2074.0,23689.0,2162.0,25851.0,20.0,20.0,1.0,ok
hamburger_hafen_und_logistik_ag,Hamburger Hafen und Logistik AG,2023,3.0,3.0,0.0,1.0,0.0,24.996552,7.868534,32.865086000000005,56359.0,1193.0,57552.0,955.0,512.0,1467.0,57314.0,1705.0,59019.0,18.0,7.0,1.0,ok
do_co_ag,DO & CO AG,2023,2.0,2.0,0.0,1.0,0.0,17.781806,14.932782,32.714588,26367.0,2393.0,28760.0,2191.0,1000.0,3191.0,28558.0,3393.0,31951.0,34.0,34.0,1.0,ok
koninklijke_ahold_delhaize_n_v,KONINKLIJKE AHOLD DELHAIZE N.V.,2024,1.0,1.0,0.0,1.0,0.0,21.114041,11.437561,32.551602,9214.0,1516.0,10730.0,1462.0,752.0,2214.0,10676.0,2268.0,12944.0,23.0,21.0,1.0,ok
elringklinger_ag,ElringKlinger AG,2023,2.0,2.0,0.0,1.0,0.0,19.399493999999997,12.891435,32.290929,31040.0,1668.0,32708.0,1470.0,553.0,2023.0,32510.0,2221.0,34731.0,21.0,8.0,1.0,ok
akzo_nobel_nv,AKZO NOBEL NV,2024,1.0,1.0,0.0,1.0,0.0,18.750521,13.080523,31.831044,7697.0,1380.0,9077.0,1102.0,796.0,1898.0,8799.0,2176.0,10975.0,22.0,22.0,1.0,ok
rwe_ag_st,RWE AG St,2023,3.0,3.0,0.0,1.0,0.0,23.056116,8.596809,31.652925,41495.0,2017.0,43512.0,1830.0,443.0,2273.0,43325.0,2460.0,45785.0,33.0,11.0,2.0,ok
porsche_ag_vz,Porsche AG Vz,2023,4.0,4.0,0.0,1.0,0.0,25.002231000000002,6.437216,31.439447,83675.0,1006.0,84681.0,895.0,306.0,1201.0,84570.0,1312.0,85882.0,8.0,4.0,1.0,ok
arcelormittal_sa,ARCELORMITTAL SA,2024,1.0,1.0,0.0,1.0,0.0,18.774541,12.271363,31.045904,9947.0,1439.0,11386.0,1268.0,787.0,2055.0,11215.0,2226.0,13441.0,23.0,12.0,1.0,ok
eni_s_p_a,ENI S.P.A.,2024,1.0,1.0,0.0,1.0,0.0,16.197572,14.216877,30.414449,17855.0,1267.0,19122.0,956.0,643.0,1599.0,18811.0,1910.0,20721.0,17.0,17.0,1.0,ok
ca_immobilien_anlagen_ag,CA Immobilien Anlagen AG,2023,3.0,3.0,0.0,1.0,0.0,21.043806,9.189444,30.233249999999998,49853.0,660.0,50513.0,796.0,251.0,1047.0,50649.0,911.0,51560.0,5.0,3.0,1.0,ok
lanxess_ag,LANXESS AG,2023,2.0,2.0,0.0,1.0,0.0,19.855011,9.931623,29.786634,28319.0,1146.0,29465.0,1079.0,421.0,1500.0,29398.0,1567.0,30965.0,14.0,7.0,1.0,ok
fraport_ag,Fraport AG,2023,3.0,3.0,0.0,1.0,0.0,16.176835,13.576151,29.752986,61727.0,2446.0,64173.0,2253.0,686.0,2939.0,63980.0,3132.0,67112.0,34.0,15.0,1.0,ok
renault,RENAULT,2024,1.0,1.0,0.0,1.0,0.0,22.819925,6.63402,29.453945,12284.0,1752.0,14036.0,1614.0,338.0,1952.0,13898.0,2090.0,15988.0,25.0,8.0,1.0,ok
ab_volvo,AB VOLVO,2024,1.0,1.0,0.0,1.0,0.0,15.629737,13.627411,29.257148,10759.0,856.0,11615.0,857.0,673.0,1530.0,11616.0,1529.0,13145.0,9.0,8.0,1.0,ok
mercedes_benz_group_ag,MERCEDES-BENZ GROUP AG,2024,1.0,1.0,0.0,1.0,0.0,16.801473,12.366924,29.168397,10418.0,1403.0,11821.0,1089.0,818.0,1907.0,11507.0,2221.0,13728.0,20.0,10.0,1.0,ok
melia_hotels_international_s_a,"Melia Hotels International, S.A.",2023,3.0,3.0,0.0,1.0,0.0,20.482722,8.588869,29.071590999999998,59233.0,843.0,60076.0,774.0,510.0,1284.0,60007.0,1353.0,61360.0,8.0,4.0,1.0,ok
kapsch_trafficcom_ag,Kapsch TrafficCom AG,2023,7.0,7.0,0.0,0.0,0.0,28.968189,0.0,28.968189,128758.0,0.0,128758.0,264.0,0.0,264.0,129022.0,0.0,129022.0,0.0,0.0,1.0,empty
sma_solar_technology_ag,SMA Solar Technology AG,2023,3.0,3.0,0.0,1.0,0.0,18.377485,10.336645,28.71413,47831.0,1527.0,49358.0,1900.0,609.0,2509.0,49731.0,2136.0,51867.0,19.0,6.0,1.0,ok
repsol_sa,REPSOL SA.,2024,1.0,1.0,0.0,1.0,0.0,17.519603,11.183602,28.703205,14082.0,1165.0,15247.0,1173.0,630.0,1803.0,15255.0,1795.0,17050.0,17.0,16.0,1.0,ok
daimler_truck_holding_ag,Daimler Truck Holding AG,2023,3.0,3.0,0.0,1.0,0.0,24.704038,3.987931,28.691969,50594.0,1227.0,51821.0,1057.0,172.0,1229.0,51651.0,1399.0,53050.0,15.0,4.0,1.0,ok
prosegur_cash_s_a,"Prosegur Cash, S.A.",2023,2.0,2.0,0.0,1.0,0.0,19.555836,9.115492,28.671328,35659.0,1079.0,36738.0,789.0,575.0,1364.0,36448.0,1654.0,38102.0,11.0,6.0,1.0,ok
1_1_ag,1&1 AG,2023,7.0,7.0,0.0,0.0,0.0,28.356807999999997,0.0,28.356807999999997,134879.0,0.0,134879.0,244.0,0.0,244.0,135123.0,0.0,135123.0,0.0,0.0,1.0,empty
gestamp_automoci_n_s_a,"Gestamp Automoción, S.A.",2023,3.0,3.0,0.0,1.0,0.0,21.669276,6.649883,28.319159,56807.0,1052.0,57859.0,1726.0,303.0,2029.0,58533.0,1355.0,59888.0,11.0,4.0,1.0,ok
cewe_stiftung_co_kgaa,CEWE Stiftung & Co. KGaA,2023,2.0,2.0,0.0,1.0,0.0,18.363542,9.892131,28.255672999999998,23164.0,1180.0,24344.0,877.0,208.0,1085.0,24041.0,1388.0,25429.0,12.0,7.0,1.0,ok
corporacion_financiera_alba_s_a,"Corporacion Financiera Alba, S.A.",2023,2.0,2.0,0.0,1.0,0.0,23.833186,4.416499,28.249685,33181.0,886.0,34067.0,1278.0,168.0,1446.0,34459.0,1054.0,35513.0,5.0,2.0,1.0,ok
bayer_ag,Bayer AG,2023,2.0,2.0,0.0,1.0,0.0,20.148452000000002,8.063964,28.212416000000005,32581.0,1195.0,33776.0,968.0,377.0,1345.0,33549.0,1572.0,35121.0,10.0,8.0,1.0,ok
hella_gmbh_co_kgaa,HELLA GmbH & Co. KGaA,2023,2.0,2.0,0.0,1.0,0.0,17.945694,10.221532,28.167226,23798.0,865.0,24663.0,964.0,460.0,1424.0,24762.0,1325.0,26087.0,8.0,6.0,1.0,ok
lenzing_ag,Lenzing AG,2023,2.0,2.0,0.0,1.0,0.0,20.248333,7.696879,27.945211999999998,27103.0,1345.0,28448.0,1057.0,446.0,1503.0,28160.0,1791.0,29951.0,16.0,8.0,1.0,ok
iss_a_s,ISS A/S,2024,8.0,8.0,0.0,0.0,0.0,27.651925,0.0,27.651925,153368.0,0.0,153368.0,282.0,0.0,282.0,153650.0,0.0,153650.0,0.0,0.0,1.0,empty
adidas_ag,adidas AG,2023,3.0,3.0,0.0,1.0,0.0,21.625024,5.807921,27.432945,43529.0,568.0,44097.0,741.0,286.0,1027.0,44270.0,854.0,45124.0,3.0,3.0,1.0,ok
evn_ag,EVN AG,2023,8.0,8.0,0.0,0.0,0.0,27.140889,0.0,27.140889,154046.0,0.0,154046.0,294.0,0.0,294.0,154340.0,0.0,154340.0,0.0,0.0,1.0,empty
medios_ag,Medios AG,2023,1.0,1.0,0.0,1.0,0.0,21.724125,5.190715,26.91484,20480.0,849.0,21329.0,1506.0,167.0,1673.0,21986.0,1016.0,23002.0,13.0,2.0,1.0,ok
jenoptik_ag,Jenoptik AG,2023,2.0,2.0,0.0,1.0,0.0,21.193316,5.320608,26.513924,22884.0,911.0,23795.0,1006.0,320.0,1326.0,23890.0,1231.0,25121.0,10.0,10.0,1.0,ok
agrana_beteiligungs_ag,Agrana Beteiligungs-AG,2023,3.0,3.0,0.0,1.0,0.0,13.607994,12.790083,26.398077,43218.0,2009.0,45227.0,1887.0,853.0,2740.0,45105.0,2862.0,47967.0,37.0,20.0,1.0,ok
patrizia_se,PATRIZIA SE,2023,2.0,2.0,0.0,1.0,0.0,19.932278,6.247315,26.179593,26291.0,888.0,27179.0,774.0,253.0,1027.0,27065.0,1141.0,28206.0,7.0,7.0,1.0,ok
grenke_ag,grenke AG,2023,3.0,3.0,0.0,1.0,0.0,18.82135,7.146317,25.967667,43248.0,1187.0,44435.0,980.0,348.0,1328.0,44228.0,1535.0,45763.0,13.0,9.0,1.0,ok
krones_ag,Krones AG,2023,2.0,2.0,0.0,1.0,0.0,18.592464999999997,6.547404,25.139868999999997,37982.0,1159.0,39141.0,913.0,413.0,1326.0,38895.0,1572.0,40467.0,11.0,9.0,1.0,ok
psi_software_se,PSI Software SE,2023,1.0,1.0,0.0,1.0,0.0,10.330896,14.544988,24.875884,8307.0,853.0,9160.0,519.0,689.0,1208.0,8826.0,1542.0,10368.0,9.0,7.0,1.0,ok
atoss_software_se,ATOSS Software SE,2023,2.0,2.0,0.0,1.0,0.0,16.204053000000002,8.370714,24.574767,21125.0,690.0,21815.0,846.0,451.0,1297.0,21971.0,1141.0,23112.0,5.0,5.0,1.0,ok
flughafen_wien_ag,Flughafen Wien AG,2023,2.0,2.0,0.0,1.0,0.0,12.649443,11.893115,24.542558,33467.0,1652.0,35119.0,1397.0,457.0,1854.0,34864.0,2109.0,36973.0,19.0,10.0,1.0,ok
audax_renovables_s_a,"Audax Renovables, S.A.",2023,2.0,2.0,0.0,1.0,0.0,18.473871,5.924629,24.3985,25950.0,978.0,26928.0,943.0,303.0,1246.0,26893.0,1281.0,28174.0,10.0,4.0,1.0,ok
palfinger_ag,Palfinger AG,2023,2.0,2.0,0.0,1.0,0.0,17.279018,6.848117,24.127135000000003,27477.0,1188.0,28665.0,903.0,322.0,1225.0,28380.0,1510.0,29890.0,14.0,9.0,1.0,ok
